 execution time: 8.82ms; select `id`, SUM(amount) as amount, `consume_id`, `date` from `consume_detail` group by `consume_id`

 execution time: 0.64ms; select * from `consume` where `consume`.`id` = "1" limit 1

 execution time: 1.95ms; update `consume` set `update_at` = "1572189782" where `id` = "1"

 execution time: 2.63ms; select * from `consume` where `consume`.`id` = "2" limit 1

 execution time: 0.35ms; update `consume` set `update_at` = "1572189782" where `id` = "2"

 execution time: 1.41ms; select * from `consume` where `consume`.`id` = "8" limit 1

 execution time: 10.51ms; update `consume` set `update_at` = "1572189782" where `id` = "8"

 execution time: 0.57ms; select * from `consume` where `consume`.`id` = "19" limit 1

 execution time: 0.35ms; update `consume` set `update_at` = "1572189782" where `id` = "19"

 execution time: 0.52ms; select * from `consume` where `consume`.`id` = "27" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572189782" where `id` = "27"

 execution time: 0.48ms; select * from `consume` where `consume`.`id` = "31" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "31"

 execution time: 0.45ms; select * from `consume` where `consume`.`id` = "33" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "33"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "126" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "126"

 execution time: 0.48ms; select * from `consume` where `consume`.`id` = "128" limit 1

 execution time: 0.85ms; update `consume` set `update_at` = "1572189782" where `id` = "128"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "164" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572189782" where `id` = "164"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "190" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572189782" where `id` = "190"

 execution time: 0.48ms; select * from `consume` where `consume`.`id` = "202" limit 1

 execution time: 0.36ms; update `consume` set `update_at` = "1572189782" where `id` = "202"

 execution time: 0.52ms; select * from `consume` where `consume`.`id` = "209" limit 1

 execution time: 1.31ms; update `consume` set `update_at` = "1572189782" where `id` = "209"

 execution time: 0.4ms; select * from `consume` where `consume`.`id` = "210" limit 1

 execution time: 0.91ms; update `consume` set `update_at` = "1572189782" where `id` = "210"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "211" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "211"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "213" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572189782" where `id` = "213"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "214" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "214"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "215" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "215"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "219" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "219"

 execution time: 0.48ms; select * from `consume` where `consume`.`id` = "221" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572189782" where `id` = "221"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "223" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "223"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "236" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "236"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "255" limit 1

 execution time: 1.89ms; update `consume` set `update_at` = "1572189782" where `id` = "255"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "381" limit 1

 execution time: 0.37ms; update `consume` set `update_at` = "1572189782" where `id` = "381"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "535" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572189782" where `id` = "535"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "545" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572189782" where `id` = "545"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "546" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "546"

 execution time: 0.5ms; select * from `consume` where `consume`.`id` = "547" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572189782" where `id` = "547"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "548" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572189782" where `id` = "548"

 execution time: 0.51ms; select * from `consume` where `consume`.`id` = "549" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572189782" where `id` = "549"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "550" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572189782" where `id` = "550"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "551" limit 1

 execution time: 1.98ms; update `consume` set `update_at` = "1572189782" where `id` = "551"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "552" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572189782" where `id` = "552"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "553" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572189782" where `id` = "553"

 execution time: 0.54ms; select * from `consume` where `consume`.`id` = "554" limit 1

